snapped_at,price,market_cap,total_volume
2021-02-17 00:00:00 UTC,3.320033065346854,0.0,9779391.195613502
2021-02-18 00:00:00 UTC,3.320033065346854,0.0,9779391.195613502
2021-02-19 00:00:00 UTC,3.4632032309407417,0.0,26920027.17031305
2021-02-20 00:00:00 UTC,3.5529440858084214,0.0,9748329.176855544
2021-02-21 00:00:00 UTC,3.0659193724008333,0.0,9230592.86874752
2021-02-22 00:00:00 UTC,3.2390000717282765,0.0,24979253.788603712
2021-02-23 00:00:00 UTC,3.2344977322916044,0.0,12544763.552519076
2021-02-24 00:00:00 UTC,3.219750737325543,0.0,15573533.72681667
2021-02-25 00:00:00 UTC,3.2219802664171238,0.0,10052241.599079272
2021-02-26 00:00:00 UTC,3.022886310234626,0.0,6972879.63580333
2021-02-27 00:00:00 UTC,3.2300401611642457,0.0,23535140.9254284
2021-02-28 00:00:00 UTC,3.2346455366870956,0.0,14572690.455484426
2021-03-01 00:00:00 UTC,3.295887854428208,0.0,37736311.04621879
2021-03-02 00:00:00 UTC,3.2840273921642336,0.0,12201233.861056248
2021-03-03 00:00:00 UTC,3.18999563423946,0.0,18235400.99319957
2021-03-04 00:00:00 UTC,3.177648461211338,0.0,11634417.314035933
2021-03-05 00:00:00 UTC,3.214814553152438,0.0,5467810.074344608
2021-03-06 00:00:00 UTC,3.2118367902289804,0.0,3578100.7662224113
2021-03-07 00:00:00 UTC,3.230460621673933,0.0,5076636.662410619
2021-03-08 00:00:00 UTC,3.153018598825661,0.0,9337866.54413508
2021-03-09 00:00:00 UTC,3.167546866332739,0.0,8999326.760328935
2021-03-10 00:00:00 UTC,3.0915776562962836,0.0,11437661.659416547
2021-03-11 00:00:00 UTC,2.9813085132083352,0.0,27663847.930541497
2021-03-12 00:00:00 UTC,3.0687543990116137,0.0,11792462.671764087
2021-03-13 00:00:00 UTC,3.037777232836,0.0,6744550.931308095
2021-03-14 00:00:00 UTC,3.1236919373050442,0.0,3904609.5942566404
2021-03-15 00:00:00 UTC,3.06180099472744,0.0,2940545.5226045526
2021-03-16 00:00:00 UTC,3.0296969717087197,0.0,4602696.117304775
2021-03-17 00:00:00 UTC,2.989829444518107,0.0,3354561.5185829108
2021-03-18 00:00:00 UTC,3.0082602260502322,0.0,2540220.2515292405
2021-03-19 00:00:00 UTC,2.9696056567950664,0.0,1305392.7657615615
2021-03-20 00:00:00 UTC,2.9869968384674377,0.0,2455395.1196124014
2021-03-21 00:00:00 UTC,2.9551134955285563,0.0,2511335.587426939
2021-03-22 00:00:00 UTC,2.965780661786471,0.0,3525809.1332073393
2021-03-23 00:00:00 UTC,2.923829276235696,0.0,4292773.520267
2021-03-24 00:00:00 UTC,2.891545679596743,0.0,5002798.721078117
2021-03-25 00:00:00 UTC,2.920288610427111,0.0,8919799.1111404
2021-03-26 00:00:00 UTC,2.939142171602977,0.0,4632626.760049134
2021-03-27 00:00:00 UTC,3.0001205299400477,0.0,2372651.6284684143
2021-03-28 00:00:00 UTC,2.98839474539302,0.0,1357702.964594794
2021-03-29 00:00:00 UTC,2.976772370804088,0.0,892129.1605726664
2021-03-30 00:00:00 UTC,2.9943342627023326,0.0,5239525.726892137
2021-03-31 00:00:00 UTC,3.031545465175285,0.0,2127721.266471909
2021-04-01 00:00:00 UTC,3.0105695436712883,0.0,8167911.550181831
2021-04-02 00:00:00 UTC,3.064591782209492,0.0,7945635.910928281
2021-04-03 00:00:00 UTC,3.1458749846825027,0.0,3816292.620634449
2021-04-04 00:00:00 UTC,3.0023264806622074,0.0,4331991.663531854
2021-04-05 00:00:00 UTC,3.0678435698328514,0.0,2124609.6157218856
2021-04-06 00:00:00 UTC,3.071358344824654,0.0,2016476.6823660736
2021-04-07 00:00:00 UTC,3.08379586829859,0.0,3650257.5960974167
2021-04-08 00:00:00 UTC,2.9744384764593823,0.0,7054561.431210953
2021-04-09 00:00:00 UTC,3.094143627957463,0.0,2692896.7347316328
2021-04-10 00:00:00 UTC,3.037995800270024,103597678.52939962,1084669.9294549434
2021-04-11 00:00:00 UTC,3.0787789436579738,107598558.87212977,3184718.3733219383
2021-04-12 00:00:00 UTC,3.039422246123,101917666.46414314,2137265.8060447583
2021-04-13 00:00:00 UTC,3.0267401385198283,104574590.0024378,1687732.3562528342
2021-04-14 00:00:00 UTC,3.0953123106119396,107428764.39510639,3670048.5084773526
2021-04-15 00:00:00 UTC,3.1353476151325648,107973664.72764285,7217791.510613863
2021-04-16 00:00:00 UTC,3.069729066045194,101764044.96219096,7356044.702724669
2021-04-17 00:00:00 UTC,3.0155794546999855,92538746.9060338,9148310.696571568
2021-04-18 00:00:00 UTC,2.9644226576026247,97222304.4738752,7582217.552440903
2021-04-19 00:00:00 UTC,3.0256709043104655,95551241.07010503,14649965.206129223
2021-04-20 00:00:00 UTC,2.93923564263485,88180883.11200939,6962004.998453604
2021-04-21 00:00:00 UTC,3.0107382025176346,92250552.99590844,7765485.9294586
2021-04-22 00:00:00 UTC,3.0035070128767622,92186715.07256265,5801097.542611196
2021-04-23 00:00:00 UTC,2.976612378496559,93098667.03781234,10372101.857181398
2021-04-24 00:00:00 UTC,3.004502873647634,84224656.55082068,15293899.195533035
2021-04-25 00:00:00 UTC,2.9153882999070717,83594419.48588793,8264473.452653212
2021-04-26 00:00:00 UTC,3.038835066076006,84974441.96587314,8085024.950623865
2021-04-27 00:00:00 UTC,3.0247679303053583,86895523.93822995,7410263.843714566
2021-04-28 00:00:00 UTC,3.05007257686167,90914533.26406269,3857675.9014788857
